Time,sanitized_timestamp_for_iri,s4MMET.POAInsol1.mag.f,s4PVSTMP.Tmp.mag.f
2024-06-29T14:20:00,20240629142000,0.233,20.9
2024-06-29T14:30:00,20240629143000,0.332,22.2
2024-06-29T14:40:00,20240629144000,0.285,27.7
2024-06-29T14:50:00,20240629145000,0.305,31.4
2024-06-29T15:00:00,20240629150000,0.29,35.2
2024-06-29T15:10:00,20240629151000,0.247,39.0
2024-06-29T15:20:00,20240629152000,0.322,38.4
2024-06-29T15:30:00,20240629153000,0.312,38.2
2024-06-29T15:40:00,20240629154000,0.316,38.0
2024-06-29T15:50:00,20240629155000,0.323,32.9
2024-06-29T16:00:00,20240629160000,0.239,28.9
2024-06-29T16:10:00,20240629161000,0.145,27.3
2024-06-29T16:20:00,20240629162000,0.28,27.1
2024-06-29T16:30:00,20240629163000,0.295,30.5
2024-06-29T16:40:00,20240629164000,0.264,31.3
2024-06-29T16:50:00,20240629165000,0.345,30.0
2024-06-29T17:00:00,20240629170000,0.183,29.6
2024-06-29T17:10:00,20240629171000,0.314,28.9
2024-06-29T17:20:00,20240629172000,0.32,27.3
2024-06-29T17:30:00,20240629173000,0.301,26.9
2024-06-29T17:40:00,20240629174000,0.337,26.4
2024-06-29T17:50:00,20240629175000,0.235,26.2
2024-06-29T18:00:00,20240629180000,0.324,26.1
2024-06-29T18:10:00,20240629181000,0.314,23.6
2024-06-29T18:20:00,20240629182000,0.218,22.8
2024-06-29T18:30:00,20240629183000,0.338,22.3
2024-06-29T18:40:00,20240629184000,0.278,22.0
2024-06-29T18:50:00,20240629185000,0.319,21.6
2024-06-29T19:00:00,20240629190000,0.335,21.1
2024-06-29T19:10:00,20240629191000,0.297,21.0
2024-06-29T19:20:00,20240629192000,0.284,21.0
2024-06-29T19:30:00,20240629193000,0.164,21.2
2024-06-29T19:40:00,20240629194000,0.309,20.6
2024-06-29T19:50:00,20240629195000,0.264,20.3
2024-06-29T20:00:00,20240629200000,0.225,20.1
2024-06-29T20:10:00,20240629201000,0.137,19.5
2024-06-29T20:20:00,20240629202000,0.272,19.8
2024-06-29T20:30:00,20240629203000,0.114,19.6
2024-06-29T20:40:00,20240629204000,0.129,19.3
2024-06-29T20:50:00,20240629205000,0.181,19.4
2024-06-29T21:00:00,20240629210000,0.246,19.3
2024-06-29T21:10:00,20240629211000,0.165,19.1
2024-06-29T21:20:00,20240629212000,0.225,19.4
2024-06-29T21:30:00,20240629213000,0.195,18.8
2024-06-29T21:40:00,20240629214000,0.147,18.4
2024-06-29T21:50:00,20240629215000,0.211,18.4
2024-06-29T22:00:00,20240629220000,0.171,17.9
2024-06-29T22:10:00,20240629221000,0.146,17.7
2024-06-29T22:20:00,20240629222000,0.184,18.0
2024-06-29T22:30:00,20240629223000,0.0888,17.5
2024-06-29T22:40:00,20240629224000,0.261,17.7
2024-06-29T22:50:00,20240629225000,0.252,18.0
2024-06-29T23:00:00,20240629230000,0.0964,18.5
2024-06-29T23:10:00,20240629231000,0.144,18.3
2024-06-29T23:20:00,20240629232000,0.192,18.3
2024-06-29T23:30:00,20240629233000,0.135,18.7
2024-06-29T23:40:00,20240629234000,0.237,18.3
2024-06-29T23:50:00,20240629235000,0.25,18.2
2024-06-30T00:00:00,20240630000000,0.296,17.9
2024-06-30T00:10:00,20240630001000,0.217,17.6
